x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-8.85827,-7.29921,7.33681e-05,0.00124355,-0.0151613,0.00131917,0.0164211,0.000874448,-0.0151847,0.00143307,0.00317789
-8.85827,-7.15748,-0.000182585,0.00129831,-0.0153492,0.00136544,0.016692,0.000889494,-0.0153734,0.0014642,0.00354401
-8.85827,-7.01575,-0.000449922,0.00135524,-0.0155317,0.00141312,0.0169664,0.000904292,-0.0155567,0.0014952,0.00392497
-8.85827,-6.87402,-0.000728838,0.0014144,-0.015708,0.0014622,0.0172442,0.000918793,-0.0157337,0.001526,0.00432101
-8.85827,-6.73228,-0.00101951,0.00147582,-0.0158772,0.0015127,0.0175253,0.00093294,-0.0159038,0.0015565,0.00473233
-8.85827,-6.59055,-0.00132208,0.00153955,-0.0160387,0.00156462,0.0178096,0.000946679,-0.0160662,0.0015866,0.00515912
-8.85827,-6.44882,-0.00163668,0.00160562,-0.0161916,0.00161796,0.0180969,0.000959948,-0.0162199,0.00161618,0.00560151
-8.85827,-6.30709,-0.00196339,0.00167407,-0.016335,0.00167271,0.0183872,0.000972683,-0.0163642,0.00164513,0.00605959
-8.85827,-6.16535,-0.00230226,0.00174492,-0.016468,0.00172886,0.0186801,0.000984818,-0.0164981,0.00167331,0.00653341
-8.85827,-6.02362,-0.0026533,0.00181818,-0.0165896,0.0017864,0.0189755,0.000996283,-0.0166206,0.00170061,0.00702296
-8.85827,-5.88189,-0.00301648,0.00189388,-0.0166988,0.00184529,0.0192733,0.00100701,-0.0167308,0.00172686,0.00752818
-8.85827,-5.74016,-0.00339172,0.00197199,-0.0167948,0.00190552,0.0195731,0.00101691,-0.0168277,0.00175192,0.00804894
-8.85827,-5.59843,-0.00377889,0.00205252,-0.0168762,0.00196705,0.0198748,0.00102591,-0.0169102,0.00177563,0.00858504
-8.85827,-5.45669,-0.00417779,0.00213544,-0.0169422,0.00202983,0.0201781,0.00103394,-0.0169772,0.00179782,0.00913621
-8.85827,-5.31496,-0.00458818,0.00222072,-0.0169916,0.00209381,0.0204827,0.00104091,-0.0170277,0.00181832,0.00970209
-8.85827,-5.17323,-0.00500974,0.00230832,-0.0170233,0.00215894,0.0207883,0.00104672,-0.0170604,0.00183695,0.0102822
-8.85827,-5.0315,-0.00544208,0.00239816,-0.0170361,0.00222514,0.0210945,0.00105131,-0.0170743,0.00185351,0.0108761
-8.85827,-4.88976,-0.00588476,0.00249018,-0.0170289,0.00229233,0.021401,0.00105457,-0.0170682,0.00186782,0.0114831
-8.85827,-4.74803,-0.00633723,0.00258427,-0.0170005,0.00236044,0.0217075,0.00105643,-0.017041,0.00187967,0.0121025
-8.85827,-4.6063,-0.00679888,0.00268034,-0.0169498,0.00242937,0.0220136,0.00105679,-0.0169915,0.00188887,0.0127335
-8.85827,-4.46457,-0.00726901,0.00277825,-0.0168757,0.002499,0.0223187,0.00105557,-0.0169185,0.00189521,0.013375
-8.85827,-4.32283,-0.00774685,0.00287785,-0.0167769,0.00256923,0.0226226,0.00105267,-0.016821,0.00189849,0.0140261
-8.85827,-4.1811,-0.00823151,0.00297898,-0.0166525,0.00263993,0.0229247,0.00104803,-0.0166978,0.0018985,0.0146855
