x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-8.71429,7.57143,1.09442,-0.00944784,-0.079781,-0.00950034,1.00723,0.00812457,-0.0797624,0.00833033,1.07509
-8.71429,7.85714,1.0901,-0.00887945,-0.0789535,-0.00893544,1.00696,0.00793023,-0.0789381,0.0081245,1.07675
-8.71429,8.14286,1.08581,-0.00832528,-0.0779758,-0.00838421,1.00673,0.00772553,-0.0779568,0.00790703,1.07816
-8.71429,8.42857,1.08263,-0.00792042,-0.0767128,-0.00797943,1.00636,0.00749249,-0.0766953,0.00765992,1.08004
-8.71429,8.71429,1.07975,-0.0075436,-0.0784705,-0.00760223,1.00599,0.00765957,-0.078501,0.00781364,1.08082
-8.71429,9,1.07956,-0.00756708,-0.0788364,-0.00761236,1.00475,0.00767972,-0.0788488,0.00779594,1.08071
-8.42857,-9,1.07839,-0.00742004,0.0777816,-0.00747241,1.005,-0.00789352,0.077761,-0.00802086,1.08403
-8.42857,-8.71429,1.07887,-0.00734129,0.0766311,-0.00741038,1.00633,-0.00784451,0.0766116,-0.00801254,1.08376
-8.42857,-8.42857,1.08178,-0.00771833,0.0748699,-0.00778728,1.00668,-0.00768196,0.0748465,-0.00786343,1.08299
-8.42857,-8.14286,1.085,-0.00812007,0.0761675,-0.00818869,1.00706,-0.00793581,0.0761432,-0.00813244,1.08133
-8.42857,-7.85714,1.08917,-0.00866809,0.0771765,-0.0087338,1.00732,-0.00816205,0.0771607,-0.0083713,1.07994
-8.42857,-7.57143,1.0934,-0.00922974,0.0780452,-0.00929194,1.00762,-0.00837448,0.0780247,-0.00859731,1.07832
-8.42857,-7.28571,1.09782,-0.00982923,0.0787934,-0.00988678,1.00792,-0.00857884,0.0787716,-0.00881562,1.07655
-8.42857,-7,1.10241,-0.0104621,0.0794003,-0.0105138,1.00825,-0.00877129,0.0793765,-0.00902242,1.0746
-8.42857,-6.71429,1.10717,-0.011131,0.0798459,-0.0111756,1.00858,-0.00894891,0.0798203,-0.00921459,1.07249
-8.42857,-6.42857,1.1121,-0.0118358,0.0801086,-0.0118717,1.00892,-0.00910815,0.080081,-0.00938846,1.0702
-8.42857,-6.14286,1.11719,-0.0125763,0.0801653,-0.0126019,1.00928,-0.00924519,0.0801357,-0.00954,1.06775
-8.42857,-5.85714,1.12243,-0.0133518,0.0799921,-0.0133653,1.00965,-0.00935587,0.0799605,-0.00966484,1.06513
-8.42857,-5.57143,1.1278,-0.0141609,0.0795642,-0.0141605,1.01003,-0.00943573,0.0795306,-0.00975824,1.06235
-8.42857,-5.28571,1.13329,-0.0150017,0.0788564,-0.0149853,1.01042,-0.00948006,0.0788208,-0.00981518,1.05942
-8.42857,-5,1.13887,-0.0158711,0.0778435,-0.0158367,1.01081,-0.00948395,0.077806,-0.00983043,1.05635
-8.42857,-4.71429,1.14451,-0.0167655,0.0765008,-0.016711,1.01122,-0.00944242,0.0764616,-0.0097986,1.05316
-8.42857,-4.42857,1.15019,-0.01768,0.0748048,-0.0176034,1.01162,-0.00935047,0.0747641,-0.0097143,1.04986
-8.42857,-4.14286,1.15587,-0.018609,0.0727338,-0.0185083,1.01203,-0.00920327,0.0726919,-0.00957223,1.04649
-8.42857,-3.85714,1.16151,-0.0195456,0.070269,-0.019419,1.01244,-0.00899627,0.0702262,-0.00936743,1.04306
-8.42857,-3.57143,1.16707,-0.0204818,0.0673946,-0.0203276,1.01285,-0.00872543,0.0673513,-0.00909538,1.03962
-8.42857,-3.28571,1.17249,-0.0214086,0.0640996,-0.0212257,1.01325,-0.00838736,0.0640564,-0.00875228,1.0362
-8.42857,-3,1.17773,-0.022316,0.0603782,-0.0221035,1.01364,-0.00797958,0.0603355,-0.00833528,1.03284
-8.42857,-2.71429,1.18274,-0.0231933,0.0562305,-0.0229508,1.01401,-0.00750068,0.056189,-0.00784264,1.02959
-8.42857,-2.42857,1.18745,-0.0240291,0.0516636,-0.0237567,1.01436,-0.00695052,0.0516239,-0.00727402,1.02648
-8.42857,-2.14286,1.19182,-0.0248115,0.046692,-0.0245101,1.01469,-0.00633042,0.0466548,-0.00663062,1.02356
-8.42857,-1.85714,1.19578,-0.0255287,0.0413381,-0.0251999,1.01499,-0.00564326,0.0413041,-0.00591537,1.02088
-8.42857,-1.57143,1.19929,-0.0261691,0.0356322,-0.0258151,1.01526,-0.00489354,0.035602,-0.00513294,1.01849
-8.42857,-1.28571,1.2023,-0.0267219,0.0296123,-0.0263456,1.01548,-0.00408743,0.0295867,-0.00428985,1.01642
-8.42857,-1,1.20476,-0.0271771,0.0233241,-0.0267821,1.01567,-0.00323266,0.0233035,-0.00339434,1.01472
-8.42857,-0.714286,1.20664,-0.0275264,0.0168196,-0.0271168,1.01582,-0.00233838,0.0168045,-0.00245621,1.01342
-8.42857,-0.428571,1.20791,-0.0277631,0.0101564,-0.0273435,1.01591,-0.00141495,0.0101472,-0.00148661,1.01253
-8.42857,-0.142857,1.20855,-0.0278827,0.00339634,-0.027458,1.01596,-0.000473658,0.00339326,-0.000497705,1.01208
-8.42857,0.142857,1.20855,-0.0278827,-0.00339634,-0.027458,1.01596,0.000473658,-0.00339326,0.000497705,1.01208
-8.42857,0.428571,1.20791,-0.0277631,-0.0101564,-0.0273435,1.01591,0.00141495,-0.0101472,0.00148661,1.01253
-8.42857,0.714286,1.20664,-0.0275264,-0.0168196,-0.0271168,1.01582,0.00233838,-0.0168045,0.00245621,1.01342
-8.42857,1,1.20476,-0.0271771,-0.0233241,-0.0267821,1.01567,0.00323266,-0.0233035,0.00339434,1.01472
-8.42857,1.28571,1.2023,-0.0267219,-0.0296123,-0.0263456,1.01548,0.00408743,-0.0295867,0.00428985,1.01642
-8.42857,1.57143,1.19929,-0.0261691,-0.0356322,-0.0258151,1.01526,0.00489354,-0.035602,0.00513294,1.01849
-8.42857,1.85714,1.19578,-0.0255287,-0.0413381,-0.0251999,1.01499,0.00564326,-0.0413041,0.00591537,1.02088
-8.42857,2.14286,1.19182,-0.0248115,-0.046692,-0.0245101,1.01469,0.00633042,-0.0466548,0.00663062,1.02356
-8.42857,2.42857,1.18745,-0.0240291,-0.0516636,-0.0237567,1.01436,0.00695052,-0.0516239,0.00727402,1.02648
-8.42857,2.71429,1.18274,-0.0231933,-0.0562305,-0.0229508,1.01401,0.00750068,-0.056189,0.00784264,1.02959
