x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
-5.80952,-3.90476,-0.00346714,-0.00405559,0.0234259,-0.00403366,-0.0378161,-0.00449228,0.0234454,-0.00427733,-0.0114803,0.00607467,0.00597431,-0.00236543,0.00597335,0.0036021,0.00159557,-0.00231983,0.00159149,-0.000711723,-0.038227,0.00173617,0.00770773,0.00167854,-0.0231247,2.23466e-05,0.00771568,5.9212e-05,-0.0116471
-5.80952,-3.71429,-0.00393188,-0.00428289,0.0238462,-0.00427027,-0.0393466,-0.00458633,0.0238669,-0.00436083,-0.0138935,0.00640053,0.00620763,-0.00250547,0.00620647,0.00380162,0.00162936,-0.00245805,0.00162512,-0.000448725,-0.038598,0.00183343,0.00782852,0.00176861,-0.0229579,3.82239e-05,0.00783628,7.07277e-05,-0.0121633
-5.80952,-3.52381,-0.00442492,-0.00451553,0.0241696,-0.00451371,-0.0409039,-0.00466304,0.0241916,-0.00442751,-0.0164832,0.00673455,0.00644684,-0.00263751,0.00644545,0.00400752,0.00165749,-0.00258843,0.00165309,-0.00015035,-0.038833,0.00192631,0.007945,0.00185408,-0.0227128,5.42217e-05,0.0079524,8.11272e-05,-0.0126242
-5.80952,-3.33333,-0.00494584,-0.00475225,0.0243803,-0.0047628,-0.0424816,-0.00471908,0.0244035,-0.00447432,-0.0192429,0.00707529,0.00669112,-0.00275825,0.00668948,0.00421902,0.00167878,-0.00270771,0.00167425,0.000184022,-0.0389111,0.00201252,0.00805772,0.00193282,-0.0223824,7.00862e-05,0.00806455,9.00378e-05,-0.0130171
-5.80952,-3.14286,-0.00549362,-0.00499158,0.0244622,-0.00501612,-0.0440724,-0.00475101,0.0244864,-0.00449809,-0.0221619,0.00742106,0.00693943,-0.00286406,0.0069375,0.00443514,0.00169196,-0.00281232,0.00168733,0.000554245,-0.0388102,0.00208947,0.00816736,0.00200239,-0.0219605,8.5542e-05,0.00817337,9.70833e-05,-0.013329
-5.80952,-2.95238,-0.00606648,-0.00523187,0.024399,-0.00527201,-0.0456677,-0.0047553,0.0244243,-0.00449563,-0.0252247,0.00776989,0.00719055,-0.00295107,0.00718829,0.00465469,0.00169574,-0.00289843,0.00169102,0.00095925,-0.038508,0.00215431,0.00827466,0.00206016,-0.0214406,0.000100302,0.00827958,0.000101903,-0.0135464
-5.80952,-2.7619,-0.00666174,-0.00547126,0.0241753,-0.00552859,-0.0472578,-0.00472843,0.0242013,-0.00446375,-0.0284104,0.00811951,0.00744298,-0.00301526,0.00744037,0.00487625,0.00168878,-0.00296209,0.00168402,0.00139689,-0.0379823,0.002204,0.00838035,0.00210333,-0.020817,0.000114079,0.00838389,0.000104177,-0.0136562
-5.80952,-2.57143,-0.00727569,-0.00570776,0.0237763,-0.00578376,-0.048832,-0.00466704,0.0238029,-0.00439945,-0.0316927,0.00846739,0.00769503,-0.00305256,0.00769202,0.0050982,0.00166977,-0.00299929,0.001665,0.00186383,-0.0372113,0.00223535,0.00848512,0.00212898,-0.0200847,0.000126604,0.00848697,0.000103648,-0.0136458
-5.80952,-2.38095,-0.00790349,-0.00593923,0.023189,-0.00603524,-0.0503783,-0.004568,0.023216,-0.00429998,-0.0350396,0.00881073,0.00794474,-0.00305901,0.00794131,0.0053187,0.00163746,-0.00300613,0.00163272,0.00235539,-0.0361753,0.00224519,0.00858947,0.00213421,-0.0192395,0.000137638,0.00858931,0.000100155,-0.0135035
-5.80952,-2.19048,-0.00853909,-0.00616348,0.0224027,-0.00628062,-0.0518841,-0.00442862,0.0224297,-0.00416298,-0.0384134,0.00914649,0.00818994,-0.00303094,0.00818606,0.00553569,0.00159071,-0.00297897,0.00158606,0.00286557,-0.0348567,0.00223043,0.00869367,0.00211625,-0.0182784,0.000146996,0.0086912,9.3657e-05,-0.0132195
-5.80952,-2,-0.00917519,-0.00637827,0.0214093,-0.00651735,-0.0533357,-0.00424674,0.0214361,-0.00398664,-0.0417712,0.00947143,0.00842824,-0.00296513,0.00842389,0.00574696,0.0015286,-0.00291465,0.00152407,0.00338697,-0.0332417,0.00218827,0.00879764,0.00207259,-0.0171999,0.000154558,0.00879257,8.42576e-05,-0.0127857
