x,z,rho,p,vx,vy,vz
5,-1.5,7.70094e-16,2.31028e-16,-0.0169889,0.220855,0
5,-1.4,2.46913e-15,7.40738e-16,-0.0172806,0.224648,0
5,-1.3,7.75922e-15,2.32777e-15,-0.0175825,0.228572,0
5,-1.2,2.38984e-14,7.16953e-15,-0.017895,0.232635,0
5,-1.1,7.21433e-14,2.1643e-14,-0.0182187,0.236844,0
5,-1,2.13451e-13,6.40354e-14,-0.0185543,0.241206,0
5,-0.9,6.18981e-13,1.85694e-13,-0.0189024,0.245732,0
5,-0.8,1.75927e-12,5.2778e-13,-0.0192637,0.250429,0
5,-0.7,4.90075e-12,1.47022e-12,-0.019639,0.255307,0
5,-0.6,1.33804e-11,4.01412e-12,-0.0200291,0.260378,0
5,-0.5,3.58056e-11,1.07417e-11,-0.0204348,0.265652,0
5,-0.4,9.39093e-11,2.81728e-11,-0.0208571,0.271142,0
5,-0.3,2.41403e-10,7.24209e-11,0.160033,0.290514,-1.50342
5,-0.2,6.08208e-10,1.82463e-10,0.159457,0.296475,-1.46235
5,-0.1,1.50189e-09,4.50567e-10,0.15885,0.302695,-1.42186
5,1.11022e-16,3.63496e-09,1.09049e-09,0.15821,0.309193,-1.38192
5,0.1,8.62257e-09,2.58677e-09,0.157536,0.315987,-1.34253
5,0.2,2.0047e-08,6.01411e-09,0.156823,0.323098,-1.30365
5,0.3,4.56814e-08,1.37044e-08,0.156069,0.330547,-1.26528
5,0.4,1.02024e-07,3.06073e-08,0.155269,0.33836,-1.2274
5,0.5,2.23329e-07,6.69987e-08,0.15442,0.346563,-1.18998
5,0.6,4.79139e-07,1.43742e-07,0.153517,0.355186,-1.15301
5,0.7,1.00752e-06,3.02257e-07,0.152554,0.364262,-1.11647
5,0.8,2.07646e-06,6.22939e-07,0.151526,0.373828,-1.08034
5,0.9,4.19438e-06,1.25832e-06,0.150427,0.383922,-1.0446
5,1,8.30401e-06,2.49124e-06,0.149249,0.39459,-1.00923
5,1.1,1.61133e-05,4.83411e-06,0.147985,0.405882,-0.974223
5,1.2,3.06447e-05,9.19389e-06,0.146627,0.417854,-0.939553
5,1.3,5.7122e-05,1.71382e-05,0.145167,0.430567,-0.905212
5,1.4,0.000104358,3.1313e-05,0.143597,0.444092,-0.871197
5,1.5,0.000186865,5.60768e-05,0.141913,0.458509,-0.837514
5,1.6,0.000327946,9.84376e-05,0.140111,0.473909,-0.804185
5,1.7,0.000564097,0.000169388,0.138194,0.490395,-0.771252
5,1.8,0.000951002,0.000285753,0.136175,0.508085,-0.738787
5,1.9,0.00157139,0.000472652,0.134076,0.527116,-0.706897
5,2,0.00254486,0.000766695,0.131941,0.547647,-0.67573
5,2.1,0.00403941,0.00121998,0.129834,0.569863,-0.645479
5,2.2,0.00628418,0.001905,0.127853,0.593981,-0.616378
5,2.3,0.00958199,0.0029205,0.126131,0.620257,-0.588693
5,2.4,0.0143198,0.00439848,0.124846,0.648994,-0.562695
5,2.5,0.0209747,0.00651239,0.124221,0.680552,-0.538622
5,2.6,0.0301114,0.00948676,0.124528,0.715363,-0.516614
5,2.7,0.0423683,0.013608,0.12609,0.753946,-0.496637
5,2.8,0.0584288,0.0192356,0.129274,0.796926,-0.47838
5,2.9,0.0789748,0.026811,0.134504,0.845065,-0.461127
5,3,0.104623,0.0368598,0.142277,0.899284,-0.443638
5,3.1,0.135844,0.0499799,0.153203,0.960724,-0.423934
5,3.2,0.172874,0.0668049,0.168184,1.03072,-0.399306
5,3.3,0.215623,0.0879335,0.188563,1.11085,-0.365547
5,3.4,0.263594,0.113819,0.21568,1.20357,-0.317194
5,3.5,0.31583,0.144623,0.257142,1.30775,-0.250146
5,3.6,0.370891,0.180047,0.301862,1.42714,-0.136824
5,3.7,0.426889,0.219184,0.377008,1.5603,0.0294308
5,3.8,0.481571,0.260426,0.481269,1.69727,0.268915
5,3.9,0.532452,0.301488,0.599271,1.82036,0.625341
5,4,0.577002,0.339566,0.667484,1.9196,1.13414
5,4.1,0.612843,0.371641,0.561276,2.06925,1.74431
5,4.2,0.637966,0.39489,0.25826,2.58794,2.07162
5,4.3,0.650911,0.407116,0.19993,3.59696,1.11748
5,4.4,0.650911,0.407116,0.19993,3.59696,-1.11748
5,4.5,0.637966,0.39489,0.25826,2.58794,-2.07162
5,4.6,0.612843,0.371641,0.561276,2.06925,-1.74431
5,4.7,0.577002,0.339566,0.667484,1.9196,-1.13414
5,4.8,0.532452,0.301488,0.599271,1.82036,-0.625341
5,4.9,0.481571,0.260426,0.481269,1.69727,-0.268915
5,5,0.426889,0.219184,0.377008,1.5603,-0.0294308
5,5.1,0.370891,0.180047,0.301862,1.42714,0.136824
5,5.2,0.31583,0.144623,0.257142,1.30775,0.250146
5,5.3,0.263594,0.113819,0.21568,1.20357,0.317194
5,5.4,0.215623,0.0879335,0.188563,1.11085,0.365547
5,5.5,0.172874,0.0668049,0.168184,1.03072,0.399306
5,5.6,0.135844,0.0499799,0.153203,0.960724,0.423934
5,5.7,0.104623,0.0368598,0.142277,0.899284,0.443638
5,5.8,0.0789748,0.026811,0.134504,0.845065,0.461127
5,5.9,0.0584288,0.0192356,0.129274,0.796926,0.47838
5,6,0.0423683,0.013608,0.12609,0.753946,0.496637
5,6.1,0.0301114,0.00948676,0.124528,0.715363,0.516614
5,6.2,0.0209747,0.00651239,0.124221,0.680552,0.538622
5,6.3,0.0143198,0.00439848,0.124846,0.648994,0.562695
5,6.4,0.00958199,0.0029205,0.126131,0.620257,0.588693
5,6.5,0.00628418,0.001905,0.127853,0.593981,0.616378
5,6.6,0.00403941,0.00121998,0.129834,0.569863,0.645479
5,6.7,0.00254486,0.000766695,0.131941,0.547647,0.67573
5,6.8,0.00157139,0.000472652,0.134076,0.527116,0.706897
5,6.9,0.000951002,0.000285753,0.136175,0.508085,0.738787
5,7,0.000564097,0.000169388,0.138194,0.490395,0.771252
5,7.1,0.000327946,9.84376e-05,0.140111,0.473909,0.804185
5,7.2,0.000186865,5.60768e-05,0.141913,0.458509,0.837514
5,7.3,0.000104358,3.1313e-05,0.143597,0.444092,0.871197
5,7.4,5.7122e-05,1.71382e-05,0.145167,0.430567,0.905212
5,7.5,3.06447e-05,9.19389e-06,0.146627,0.417854,0.939553
5,7.6,1.61133e-05,4.83411e-06,0.147985,0.405882,0.974223
5,7.7,8.30401e-06,2.49124e-06,0.149249,0.39459,1.00923
5,7.8,4.19438e-06,1.25832e-06,0.150427,0.383922,1.0446
5,7.9,2.07646e-06,6.22939e-07,0.151526,0.373828,1.08034
5,8,1.00752e-06,3.02257e-07,0.152554,0.364262,1.11647
5,8.1,4.79139e-07,1.43742e-07,0.153517,0.355186,1.15301
5,8.2,2.23329e-07,6.69987e-08,0.15442,0.346563,1.18998
5,8.3,1.02024e-07,3.06073e-08,0.155269,0.33836,1.2274
5,8.4,4.56814e-08,1.37044e-08,0.156069,0.330547,1.26528
5,8.5,2.0047e-08,6.01411e-09,0.156823,0.323098,1.30365
5,8.6,8.62257e-09,2.58677e-09,0.157536,0.315987,1.34253
5,8.7,3.63496e-09,1.09049e-09,0.15821,0.309193,1.38192
5,8.8,1.50189e-09,4.50567e-10,0.15885,0.302695,1.42186
5,8.9,6.08208e-10,1.82463e-10,0.159457,0.296475,1.46235
5,9,2.41403e-10,7.24209e-11,0.160033,0.290514,1.50342
5,9.1,9.39093e-11,2.81728e-11,-0.0208571,0.271142,0
5,9.2,3.58056e-11,1.07417e-11,-0.0204348,0.265652,0
5,9.3,1.33804e-11,4.01412e-12,-0.0200291,0.260378,0
5,9.4,4.90075e-12,1.47022e-12,-0.019639,0.255307,0
5,9.5,1.75927e-12,5.2778e-13,-0.0192637,0.250429,0
5,9.6,6.18981e-13,1.85694e-13,-0.0189024,0.245732,0
5,9.7,2.13451e-13,6.40354e-14,-0.0185543,0.241206,0
5,9.8,7.21433e-14,2.1643e-14,-0.0182187,0.236844,0
5,9.9,2.38984e-14,7.16953e-15,-0.017895,0.232635,0
5,10,7.75922e-15,2.32777e-15,-0.0175825,0.228572,0
5,10.1,2.46913e-15,7.40738e-16,-0.0172806,0.224648,0
5,10.2,7.70094e-16,2.31028e-16,-0.0169889,0.220855,0
5,10.3,2.35408e-16,7.06223e-17,-0.0167067,0.217188,0
5,10.4,7.05299e-17,2.1159e-17,-0.0164338,0.213639,0
5,10.5,2.0711e-17,6.21331e-18,-0.0161696,0.210204,0
5,10.6,5.96082e-18,1.78824e-18,-0.0159137,0.206878,0
5,10.7,5.96082e-18,1.78824e-18,-0.0159137,0.206878,0
5.1,-2,5.17889e-18,1.55367e-18,-0.0158855,0.238283,0
5.1,-1.9,5.17889e-18,1.55367e-18,-0.0158855,0.238283,0
5.1,-1.8,1.79942e-17,5.39826e-18,-0.0161401,0.242101,0
5.1,-1.7,6.12779e-17,1.83834e-17,-0.0164028,0.246042,0
5.1,-1.6,2.04527e-16,6.13582e-17,-0.0166742,0.250113,0
5.1,-1.5,6.69075e-16,2.00723e-16,-0.0169546,0.254319,0
