x,z,rho,p,vx,vy,vz
-1.8,3.3,0.00237154,0.000714273,-0.126886,-1.94946,0.0595877
-1.8,3.4,0.00194253,0.000584646,-0.129202,-1.91718,0.0655857
-1.8,3.5,0.00157676,0.000474272,-0.131351,-1.88512,0.0716357
-1.8,3.6,0.00126831,0.000381298,-0.133338,-1.85336,0.0777189
-1.8,3.7,0.00101099,0.000303808,-0.135171,-1.82194,0.0838198
-1.8,3.8,0.000798598,0.000239898,-0.136857,-1.79092,0.0899253
-1.8,3.9,0.00062513,0.000187734,-0.138402,-1.76035,0.0960225
-1.8,4,0.000484924,0.000145595,-0.139817,-1.73026,0.102105
-1.8,4.1,0.000372767,0.000111899,-0.141103,-1.70069,0.108102
-1.8,4.2,0.000283963,8.52292e-05,-0.14231,-1.67165,0.0529684
-1.8,4.3,0.000283963,8.52292e-05,-0.0854283,-1.67002,0.0265274
-1.7,-2,0.000369401,0.000110888,-0.0839649,-1.64003,-0.0264774
-1.7,-1.9,0.000369401,0.000110888,-0.138908,-1.64161,-0.0528817
-1.7,-1.8,0.000484924,0.000145595,-0.137747,-1.67111,-0.107977
-1.7,-1.7,0.000630826,0.000189447,-0.136515,-1.70119,-0.101902
-1.7,-1.6,0.000813217,0.000244296,-0.135154,-1.73187,-0.0957314
-1.7,-1.5,0.00103888,0.000312203,-0.133661,-1.76309,-0.0895352
-1.7,-1.4,0.00131517,0.000395417,-0.132026,-1.79483,-0.0833191
-1.7,-1.3,0.00164992,0.000496337,-0.13024,-1.82705,-0.0770954
-1.7,-1.2,0.00205118,0.000617456,-0.128295,-1.8597,-0.0708765
-1.7,-1.1,0.00252699,0.00076129,-0.126182,-1.89272,-0.0646777
-1.7,-1,0.00308508,0.000930282,-0.123893,-1.92604,-0.0585177
-1.7,-0.9,0.0037324,0.00112669,-0.121421,-1.95958,-0.0524185
-1.7,-0.8,0.00447478,0.00135245,-0.118761,-1.99324,-0.0464063
-1.7,-0.7,0.00531639,0.00160905,-0.115906,-2.02691,-0.0405116
-1.7,-0.6,0.00625924,0.00189736,-0.112857,-2.06049,-0.0347694
-1.7,-0.5,0.00730277,0.0022175,-0.109614,-2.09381,-0.0292195
-1.7,-0.4,0.00844335,0.00256865,-0.106181,-2.12675,-0.0239062
-1.7,-0.3,0.00967392,0.00294897,-0.102571,-2.15912,-0.0188778
-1.7,-0.2,0.0109838,0.00335545,-0.0988006,-2.19075,-0.0141862
-1.7,-0.1,0.0123583,0.00378387,-0.0948943,-2.22145,-0.0098851
-1.7,1.11022e-16,0.0137794,0.00422876,-0.0908864,-2.251,-0.00602819
-1.7,0.1,0.0152251,0.00468344,-0.0868208,-2.2792,-0.00266683
-1.7,0.2,0.0166707,0.00514016,-0.082752,-2.30581,0.000153261
-1.7,0.3,0.0180886,0.00559019,-0.0787444,-2.33061,0.00239546
-1.7,0.4,0.01945,0.00602414,-0.0748721,-2.35336,0.00403613
-1.7,0.5,0.0207249,0.00643225,-0.0712166,-2.37386,0.00506836
-1.7,0.6,0.0218841,0.00680468,-0.0678641,-2.39188,0.00550533
-1.7,0.7,0.0228994,0.00713202,-0.0649019,-2.40723,0.00538267
-1.7,0.8,0.0237455,0.00740557,-0.0624133,-2.41974,0.00475965
-1.7,0.9,0.0244005,0.00761784,-0.0604733,-2.42926,0.00371854
-1.7,1,0.0248472,0.00776284,-0.0591434,-2.43567,0.00236214
-1.7,1.1,0.0250736,0.00783641,-0.058467,-2.43889,0.000809577
-1.7,1.2,0.0250736,0.00783641,-0.058467,-2.43889,-0.000809577
-1.7,1.3,0.0248472,0.00776284,-0.0591434,-2.43567,-0.00236214
-1.7,1.4,0.0244005,0.00761784,-0.0604733,-2.42926,-0.00371854
-1.7,1.5,0.0237455,0.00740557,-0.0624133,-2.41974,-0.00475965
-1.7,1.6,0.0228994,0.00713202,-0.0649019,-2.40723,-0.00538267
-1.7,1.7,0.0218841,0.00680468,-0.0678641,-2.39188,-0.00550533
-1.7,1.8,0.0207249,0.00643225,-0.0712166,-2.37386,-0.00506836
-1.7,1.9,0.01945,0.00602414,-0.0748721,-2.35336,-0.00403613
-1.7,2,0.0180886,0.00559019,-0.0787444,-2.33061,-0.00239546
-1.7,2.1,0.0166707,0.00514016,-0.082752,-2.30581,-0.000153261
-1.7,2.2,0.0152251,0.00468344,-0.0868208,-2.2792,0.00266683
-1.7,2.3,0.0137794,0.00422876,-0.0908864,-2.251,0.00602819
-1.7,2.4,0.0123583,0.00378387,-0.0948943,-2.22145,0.0098851
-1.7,2.5,0.0109838,0.00335545,-0.0988006,-2.19075,0.0141862
-1.7,2.6,0.00967392,0.00294897,-0.102571,-2.15912,0.0188778
-1.7,2.7,0.00844335,0.00256865,-0.106181,-2.12675,0.0239062
-1.7,2.8,0.00730277,0.0022175,-0.109614,-2.09381,0.0292195
-1.7,2.9,0.00625924,0.00189736,-0.112857,-2.06049,0.0347694
-1.7,3,0.00531639,0.00160905,-0.115906,-2.02691,0.0405116
-1.7,3.1,0.00447478,0.00135245,-0.118761,-1.99324,0.0464063
-1.7,3.2,0.0037324,0.00112669,-0.121421,-1.95958,0.0524185
-1.7,3.3,0.00308508,0.000930282,-0.123893,-1.92604,0.0585177
-1.7,3.4,0.00252699,0.00076129,-0.126182,-1.89272,0.0646777
-1.7,3.5,0.00205118,0.000617456,-0.128295,-1.8597,0.0708765
-1.7,3.6,0.00164992,0.000496337,-0.13024,-1.82705,0.0770954
-1.7,3.7,0.00131517,0.000395417,-0.132026,-1.79483,0.0833191
-1.7,3.8,0.00103888,0.000312203,-0.133661,-1.76309,0.0895352
-1.7,3.9,0.000813217,0.000244296,-0.135154,-1.73187,0.0957314
-1.7,4,0.000630826,0.000189447,-0.136515,-1.70119,0.101902
-1.7,4.1,0.000484924,0.000145595,-0.137746,-1.67111,0.107979
-1.7,4.2,0.000369401,0.000110888,-0.138905,-1.64161,0.052882
-1.7,4.3,0.000369401,0.000110888,-0.0839645,-1.64003,0.0264773
-1.6,-2,0.000476206,0.000142975,-0.0825323,-1.60852,-0.0264655
-1.6,-1.9,0.000476206,0.000142975,-0.135569,-1.61005,-0.0528593
-1.6,-1.8,0.00062513,0.000187734,-0.13446,-1.63997,-0.107927
-1.6,-1.7,0.000813217,0.000244296,-0.133291,-1.67054,-0.101776
-1.6,-1.6,0.00104834,0.000315052,-0.131994,-1.70177,-0.0955217
