x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
4.28571,1.2381,-0.0113945,0.0596977,-0.0473483,0.0597097,0.148079,0.0139377,-0.0473488,0.0139321,0.158908,0.00651117,-0.0228032,0.0566331,-0.0227995,-0.0562196,-0.0196599,0.0566317,-0.0196611,-0.0351774,-0.0284481,-0.00882056,-0.0233248,-0.00881274,0.0745746,-0.00491039,-0.0233248,-0.00490816,0.0507128
4.28571,1.42857,-0.00716506,0.0584341,-0.0517436,0.058444,0.141771,0.0161624,-0.051744,0.016157,0.14976,-0.000449398,-0.0200736,0.0596835,-0.0200705,-0.0538185,-0.0208242,0.0596821,-0.0208253,-0.0250921,-0.0288797,-0.0094761,-0.029198,-0.00946836,0.0817291,-0.0060036,-0.0291981,-0.00600227,0.0540974
4.28571,1.61905,-0.00291301,0.0569572,-0.0552288,0.0569654,0.135271,0.0183124,-0.0552292,0.0183073,0.140153,-0.00721819,-0.017367,0.0611478,-0.0173644,-0.0512807,-0.0214648,0.0611464,-0.0214659,-0.015201,-0.0282242,-0.00992463,-0.0349438,-0.00991723,0.0875677,-0.00701822,-0.0349439,-0.00701765,0.0561846
4.28571,1.80952,0.00123951,0.0552801,-0.0578415,0.0552867,0.128728,0.0203406,-0.0578419,0.0203359,0.130304,-0.0135699,-0.0147637,0.0611963,-0.0147615,-0.0486583,-0.0216367,0.0611949,-0.0216377,-0.00582076,-0.0266101,-0.0101819,-0.0403723,-0.0101751,0.0921649,-0.0079159,-0.0403725,-0.00791595,0.0570791
4.28571,2,0.00519528,0.0534235,-0.0596421,0.0534288,0.12226,0.0222042,-0.0596424,0.0221999,0.120406,-0.0193383,-0.0123244,0.0600373,-0.0123226,-0.0459977,-0.0214075,0.060036,-0.0214084,0.00281206,-0.0241929,-0.0102689,-0.0453403,-0.0102626,0.0956259,-0.00867167,-0.0453405,-0.00867219,0.0569186
4.28571,2.19048,0.00888219,0.0514142,-0.0607062,0.0514184,0.115956,0.0238681,-0.0607064,0.0238644,0.110623,-0.0244153,-0.0100901,0.0578957,-0.0100886,-0.0433389,-0.0208504,0.0578945,-0.0208512,0.0105394,-0.0211389,-0.0102092,-0.0497501,-0.0102036,0.0980734,-0.0092729,-0.0497503,-0.00927376,0.0558581
4.28571,2.38095,0.0122515,0.049283,-0.0611175,0.0492862,0.10988,0.0253073,-0.0611177,0.025304,0.101093,-0.0287443,-0.00808439,0.0549949,-0.00808319,-0.0407153,-0.0200381,0.0549938,-0.0200388,0.0172739,-0.0176128,-0.0100273,-0.0535455,-0.0100223,0.0996367,-0.00971738,-0.0535456,-0.00971846,0.054058
4.28571,2.57143,0.0152749,0.0470622,-0.0609631,0.0470646,0.10407,0.0265067,-0.0609632,0.0265038,0.0919206,-0.0323116,-0.00631634,0.0515443,-0.00631537,-0.0381539,-0.0190388,0.0515433,-0.0190394,0.0229877,-0.0137684,-0.00974718,-0.0567053,-0.00974287,0.100444,-0.010011,-0.0567054,-0.0100122,0.0516734
4.28571,2.7619,0.0179406,0.0447841,-0.0603282,0.044786,0.0985497,0.027461,-0.0603283,0.0274586,0.0831866,-0.0351372,-0.0047834,0.0477308,-0.00478262,-0.0356754,-0.0179134,0.0477298,-0.0179139,0.0276996,-0.00974257,-0.00939129,-0.059236,-0.00938758,0.100615,-0.0101652,-0.0592362,-0.0101665,0.0488487
4.28571,2.95238,0.0202502,0.0424795,-0.0592941,0.0424809,0.0933272,0.0281735,-0.0592942,0.0281715,0.0749465,-0.0372653,-0.00347475,0.0437145,-0.00347412,-0.0332955,-0.0167139,0.0437137,-0.0167143,0.0314623,-0.00565251,-0.00897976,-0.0611649,-0.00897659,0.100262,-0.0101954,-0.061165,-0.0101967,0.0457123
