x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
182.857,69.0794,1.55415,-0.204722,0.240368,-0.204707,1.07398,-0.0885567,0.240368,-0.0885631,1.10255
182.857,77.2063,1.53205,-0.193361,0.256909,-0.193348,1.06869,-0.0931127,0.256909,-0.0931189,1.12234
182.857,85.3333,1.50931,-0.18186,0.270689,-0.181849,1.06342,-0.0963925,0.270688,-0.0963984,1.14215
182.857,93.4603,1.48625,-0.170402,0.281837,-0.170392,1.05827,-0.0984992,0.281837,-0.0985047,1.16164
182.857,101.587,1.46315,-0.159138,0.290525,-0.159129,1.0533,-0.0995531,0.290525,-0.0995582,1.18052
182.857,109.714,1.44025,-0.14819,0.296951,-0.148183,1.04857,-0.0996829,0.296951,-0.0996876,1.19858
182.857,117.841,1.41774,-0.137653,0.301326,-0.137647,1.04411,-0.0990189,0.301326,-0.0990232,1.21563
182.857,125.968,1.3958,-0.127594,0.303869,-0.127589,1.03994,-0.0976878,0.303868,-0.0976916,1.23157
182.857,134.095,1.37453,-0.118058,0.304793,-0.118054,1.03608,-0.0958086,0.304792,-0.095812,1.24632
182.857,142.222,1.35403,-0.109075,0.304304,-0.109071,1.03253,-0.0934904,0.304304,-0.0934934,1.25984
182.857,150.349,1.33437,-0.100653,0.302599,-0.10065,1.02927,-0.0908311,0.302598,-0.0908337,1.27213
182.857,158.476,1.31559,-0.0927943,0.299856,-0.0927919,1.02631,-0.0879168,0.299856,-0.0879191,1.28319
182.857,166.603,1.2977,-0.0854871,0.29624,-0.0854851,1.02362,-0.0848221,0.29624,-0.0848241,1.29307
182.857,174.73,1.28072,-0.0787143,0.291901,-0.0787126,1.02119,-0.0816105,0.291901,-0.0816123,1.30181
182.857,182.857,1.26463,-0.0724534,0.286971,-0.072452,1.01899,-0.0783352,0.286971,-0.0783367,1.30948
182.857,190.984,1.24944,-0.0666785,0.281567,-0.0666774,1.01702,-0.0750402,0.281567,-0.0750416,1.31612
182.857,199.111,1.2351,-0.0613616,0.275793,-0.0613606,1.01525,-0.0717615,0.275793,-0.0717627,1.32181
182.857,207.238,1.2216,-0.0564736,0.269739,-0.0564728,1.01366,-0.0685276,0.269739,-0.0685286,1.32662
182.857,215.365,1.2089,-0.0519852,0.263481,-0.0519845,1.01223,-0.065361,0.263481,-0.0653619,1.33061
182.857,223.492,1.19696,-0.0478673,0.257087,-0.0478667,1.01096,-0.0622789,0.257087,-0.0622797,1.33385
182.857,231.619,1.18574,-0.0440872,0.250615,-0.0440867,1.00982,-0.0592949,0.250615,-0.0592955,1.33638
182.857,239.746,1.17547,-0.0407057,0.244328,-0.0407053,1.00883,-0.0564916,0.244327,-0.0564923,1.33858
182.857,247.873,1.1677,-0.0381603,0.241847,-0.0381599,1.00807,-0.0551383,0.241843,-0.0551388,1.34183
182.857,256,1.16787,-0.0380474,0.24128,-0.0380474,1.00833,-0.0547447,0.241278,-0.0547448,1.34335
190.984,-256,1.17558,-0.0392803,-0.241263,-0.0392802,1.0085,0.0540375,-0.241261,0.0540376,1.32815
190.984,-247.873,1.17537,-0.0393765,-0.241786,-0.0393762,1.00825,0.0544071,-0.241783,0.0544076,1.32657
190.984,-239.746,1.18336,-0.0419521,-0.244005,-0.0419517,1.009,0.0556559,-0.244004,0.0556565,1.32319
190.984,-231.619,1.19379,-0.0453318,-0.249848,-0.0453313,1.00998,0.0582692,-0.249848,0.0582699,1.32048
190.984,-223.492,1.20515,-0.0490928,-0.255818,-0.0490923,1.0111,0.0610343,-0.255818,0.061035,1.31742
