x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-36.5714,44.6984,1.77948,-0.0980715,0.092901,-0.0926069,1.29072,-0.567122,0.109899,-0.571171,0.0196158
-36.5714,52.8254,1.5315,-0.0285703,0.134885,-0.0256974,1.20472,-0.449903,0.14555,-0.452855,-0.0447841
-36.5714,60.9524,1.34675,0.0120095,0.180704,0.0134156,1.13371,-0.380456,0.187234,-0.382766,-0.122033
-36.5714,69.0794,1.20262,0.0332529,0.216583,0.0338747,1.06926,-0.331575,0.220538,-0.333442,-0.197546
-36.5714,77.2063,1.0857,0.0424679,0.239528,0.0426913,1.00746,-0.29216,0.241914,-0.293675,-0.262816
-36.5714,85.3333,0.987754,0.0446247,0.25065,0.0446584,0.946969,-0.257879,0.252091,-0.259102,-0.314416
-36.5714,93.4603,0.903598,0.0429228,0.252372,0.0428752,0.887696,-0.227184,0.253247,-0.228162,-0.352086
-36.5714,101.587,0.829897,0.0393309,0.247245,0.0392557,0.83006,-0.199574,0.247781,-0.20035,-0.377175
-36.5714,109.714,0.764456,0.0350082,0.237492,0.0349305,0.77459,-0.174872,0.237824,-0.175483,-0.391677
-36.5714,117.841,0.705787,0.0306032,0.224875,0.0305334,0.721746,-0.152951,0.225086,-0.153431,-0.397686
-36.5714,125.968,0.65284,0.0264522,0.210716,0.0263935,0.671856,-0.133651,0.210852,-0.134026,-0.397135
-36.5714,134.095,0.604845,0.0227076,0.195956,0.0226601,0.625104,-0.116769,0.196048,-0.117063,-0.391682
-36.5714,142.222,0.561207,0.0194175,0.181241,0.0193799,0.581554,-0.102076,0.181305,-0.102305,-0.382692
-36.5714,150.349,0.521447,0.0165744,0.166991,0.016545,0.541172,-0.0893299,0.167038,-0.0895093,-0.371251
-36.5714,158.476,0.485164,0.0141429,0.153464,0.0141201,0.503857,-0.0782977,0.1535,-0.0784383,-0.358206
-36.5714,166.603,0.452014,0.0120768,0.140801,0.0120592,0.469462,-0.0687586,0.14083,-0.0688692,-0.344204
-36.5714,174.73,0.421694,0.0103277,0.129065,0.0103142,0.437811,-0.0605122,0.12909,-0.0605993,-0.329729
-36.5714,182.857,0.393935,0.00884966,0.118267,0.00883925,0.408715,-0.0533795,0.118288,-0.0534485,-0.31514
